,nouns,animal
203,animal,0.8062043786048889
2963,horse,0.14647655189037323
1872,dog,0.13509194552898407
2048,elephant,0.041487161070108414
6712,wolf,0.03301502764225006
932,cat,0.03202081471681595
4483,pig,0.02521839551627636
4242,ox,0.022079182788729668
3905,monkey,0.01846206933259964
2651,goat,0.016942063346505165
500,bear,0.016181739047169685
235,ape,0.015619916841387749
1470,cow,0.014848385006189346
3919,moose,0.012409839779138565
2997,human,0.01102442666888237
6168,tiger,0.010837290436029434
773,bull,0.010712891817092896
1673,deer,0.010224462486803532
5734,squirrel,0.009788048453629017
213,ant,0.009668051265180111
3305,kangaroo,0.009657463058829308
5564,snake,0.00875831674784422
3514,lion,0.00809031818062067
4239,owl,0.008072160184383392
401,badger,0.0078093078918755054
1473,coyote,0.007577515672892332
4865,rabbit,0.007454977370798588
3963,mule,0.006808174308389425
841,camel,0.00611325865611434
4912,rat,0.006058438215404749
3534,lizard,0.005983684677630663
3112,individual,0.005931705702096224
1794,dinosaur,0.005585085600614548
1887,donkey,0.005242226179689169
4432,person,0.005087924189865589
2514,frog,0.004955686628818512
6572,walker,0.004644089378416538
5409,sheep,0.004584113135933876
2483,fox,0.004436254035681486
3157,insect,0.004391742870211601
3948,mouse,0.004251786973327398
4280,panther,0.0042168330401182175
145,alligator,0.0038922117091715336
1987,eagle,0.003872126806527376
2930,hog,0.0038699302822351456
3651,man,0.0038070851005613804
570,bird,0.0037836090195924044
4484,pigeon,0.00365878245793283
3007,hunter,0.0033462578430771828
6367,turtle,0.0030952785164117813
1530,crocodile,0.003076932393014431
2025,eel,0.0030710280407220125
3381,lamb,0.003050282597541809
502,beast,0.002949418965727091
4613,pony,0.0029144189320504665
2820,hare,0.002821710892021656
2058,elk,0.0027168961241841316
3461,leopard,0.0026461752131581306
6796,zoo,0.0024078250862658024
2978,hound,0.002382370876148343
2674,gorilla,0.002224561758339405
6191,toad,0.002206991193816066
5512,skeleton,0.0021311265882104635
6659,whip,0.0021053494419902563
6013,tail,0.0020564591977745295
4114,object,0.001964760711416602
5312,seal,0.0018028834601864219
477,bat,0.0017311343690380454
3910,monster,0.0016927463002502918
6303,tree,0.0016917070606723428
3247,jaguar,0.00168173061683774
5135,robot,0.0016763927415013313
2317,fence,0.001634998363442719
4919,raven,0.001634197891689837
4316,parrot,0.001604788121767342
507,beaver,0.0015925820916891098
1482,crane,0.001579556497745216
6653,whale,0.0015625192318111658
4204,otter,0.0015411673812195659
74,adult,0.0014974119840189815
2187,example,0.0014955338556319475
2372,fish,0.0014927240554243326
1882,dolphin,0.001489844755269587
3599,lynx,0.0014749380061402917
763,buffalo,0.001462372369132936
1915,dragon,0.0014257262228056788
4381,peacock,0.0014203771715983748
6626,weasel,0.0013946909457445145
2672,goose,0.00132967799436301
756,buck,0.0013263666769489646
2089,enclosure,0.001292069093324244
4133,octopus,0.0012787270825356245
4397,pen,0.001228906912729144
5402,shark,0.0012170090340077877
4704,primate,0.0012146058725193143
6785,zebra,0.0012028447818011045
4274,panda,0.001185408211313188
1951,duck,0.0011822429951280355
339,athlete,0.0011796295875683427
6736,worm,0.001113868784159422
5685,spider,0.0010783480247482657
3686,mare,0.001078132539987564
1050,chicken,0.001076914370059967
834,calf,0.0010362239554524422
6713,woman,0.0010282477596774697
183,analogy,0.0010277703404426575
2845,hawk,0.0010269106132909656
5110,rider,0.0010020026238635182
618,boar,0.0009936741553246975
1500,creature,0.0009703428950160742
550,bicycle,0.0009673700551502407
3894,mole,0.000962519901804626
1989,ear,0.0009501234162598848
6465,vehicle,0.0009459221037104726
4898,ram,0.0009314203634858131
6462,vegetarian,0.0009178645559586585
4539,plant,0.0008948319009505212
2612,ghost,0.0008457687799818814
4438,pet,0.0008414878393523395
4403,penguin,0.0008315287414006889
5518,skull,0.0008013758924789727
2438,foot,0.0007981084636412561
1191,cock,0.0007866264204494655
2899,heron,0.0007842399063520133
6494,vet,0.0007752570672892034
5531,slave,0.0007721469737589359
4997,reindeer,0.0007210924522951245
3945,motorcycle,0.0007184109999798238
315,ass,0.000714939902536571
1519,cricket,0.0007127849385142326
827,cage,0.0006939190207049251
1474,crab,0.0006929165101610124
881,car,0.000680704484693706
5183,runner,0.0006759955431334674
6164,tick,0.0006652122247032821
4240,owner,0.0006535666179843247
6794,zombie,0.0006526553770527244
1054,child,0.000650312751531601
5416,shield,0.0006457561394199729
4327,partridge,0.0006270106532610953
1691,demon,0.0006011815275996923
6444,vampire,0.000599933264311403
1871,doe,0.0005998826236464083
1242,comb,0.0005930973566137254
1747,devil,0.0005911497864872217
2219,expert,0.0005886372528038919
946,cattle,0.0005809503491036594
5668,species,0.0005781241343356669
5285,scorpion,0.0005745800444856286
5563,snail,0.0005718941683880985
249,apple,0.0005694939754903316
517,beetle,0.00056412850972265
2891,hen,0.0005564778111875057
2315,female,0.0005556935211643577
766,bug,0.0005396485794335604
63,adjective,0.0005334900924935937
5663,spear,0.0005278083262965083
365,author,0.0005072522326372564
