"","word","views","prior"
"1","donald trump",223883696,0.00140168201842211
"2","cleopatra",46413731,0.00140168201842211
"3","joe biden",17888931,0.00140168201842211
"4","tom brady",12726133,0.00140168201842211
"5","dwayne johnson",10351381,0.00140168201842211
"6","jeff bezos",10016151,0.00140168201842211
"7","keanu reeves",9636672,0.00140168201842211
"8","scarlett johansson",9524887,0.00140168201842211
"9","betty white",9479731,0.00140168201842211
"10","freddie mercury",9425958,0.00140168201842211
"11","michael jackson",9086342,0.00140168201842211
"12","britney spears",9023495,0.00140168201842211
"13","barack obama",8897913,0.00140168201842211
"14","adolf hitler",8859333,0.00140168201842211
"15","taylor swift",8459667,0.00140168201842211
"16","kim kardashian",8217654,0.00140168201842211
"17","kanye west",8123621,0.00140168201842211
"18","clint eastwood",8115056,0.00140168201842211
"19","jennifer aniston",7968076,0.00140168201842211
"20","darth vader",7776553,0.00140168201842211
"21","michael jordan",7746995,0.00140168201842211
"22","muhammad ali",7737643,0.00140168201842211
"23","adele",7675552,0.00140168201842211
"24","angelina jolie",7623693,0.00140168201842211
"25","mark zuckerberg",7469138,0.00140168201842211
"26","tom cruise",7043880,0.00140168201842211
"27","lady gaga",7042939,0.00140168201842211
"28","mahatma gandhi",7014371,0.00140168201842211
"29","winston churchill",6938572,0.00140168201842211
"30","bill gates",6847529,0.00140168201842211
"31","arnold schwarzenegger",6835803,0.00140168201842211
"32","steve jobs",6727603,0.00140168201842211
"33","jennifer lopez",6692215,0.00140168201842211
"34","johnny depp",6658684,0.00140168201842211
"35","john f. kennedy",6614489,0.00140168201842211
"36","elvis presley",6580978,0.00140168201842211
"37","ben affleck",6544367,0.00140168201842211
"38","bruce lee",6402213,0.00140168201842211
"39","justin bieber",6372484,0.00140168201842211
"40","elton john",6355813,0.00140168201842211
"41","albert einstein",6351784,0.00140168201842211
"42","kobe bryant",6325302,0.00140168201842211
"43","abraham lincoln",6234753,0.00140168201842211
"44","robin williams",6145690,0.00140168201842211
"45","david bowie",6096769,0.00140168201842211
"46","eminem",6043345,0.00140168201842211
"47","margaret thatcher",6039017,0.00140168201842211
"48","brad pitt",5964517,0.00140168201842211
"49","alec baldwin",5874199,0.00140168201842211
"50","heath ledger",5764771,0.00140168201842211
"51","aretha franklin",5762448,0.00140168201842211
"52","franklin d. roosevelt",5740426,0.00140168201842211
"53","marilyn monroe",5735444,0.00140168201842211
"54","stephen hawking",5714585,0.00140168201842211
"55","ronald reagan",5650889,0.00140168201842211
"56","john lennon",5618321,0.00140168201842211
"57","malcolm x",5609560,0.00140168201842211
"58","mike tyson",5568648,0.00140168201842211
"59","ansel adams",5547320,0.00140168201842211
"60","emma watson",5525635,0.00140168201842211
"61","serena williams",5484593,0.00140168201842211
"62","norm macdonald",5484482,0.00140168201842211
"63","norm macdonald",5484482,0.00140168201842211
"64","audrey hepburn",5418889,0.00140168201842211
"65","tom hanks",5388459,0.00140168201842211
"66","vladimir putin",5326256,0.00140168201842211
"67","jimmy carter",5317430,0.00140168201842211
"68","rihanna",5283282,0.00140168201842211
"69","john cena",5275655,0.00140168201842211
"70","george w. bush",5235270,0.00140168201842211
"71","george washington",5218981,0.00140168201842211
"72","william shakespeare",5123801,0.00140168201842211
"73","judy garland",5089850,0.00140168201842211
"74","demi lovato",5088782,0.00140168201842211
"75","jake gyllenhaal",5081115,0.00140168201842211
"76","tiger woods",5025706,0.00140168201842211
"77","nicolas cage",4982868,0.00140168201842211
"78","matthew perry",4930644,0.00140168201842211
"79","joseph stalin",4919281,0.00140168201842211
"80","roger federer",4910797,0.00140168201842211
"81","michael phelps",4893575,0.00140168201842211
"82","ernest hemingway",4881693,0.00140168201842211
"83","salma hayek",4879479,0.00140168201842211
"84","george harrison",4844219,0.00140168201842211
"85","john krasinski",4824474,0.00140168201842211
"86","snoop dogg",4819041,0.00140168201842211
"87","tina turner",4791241,0.00140168201842211
"88","will smith",4786521,0.00140168201842211
"89","sandra bullock",4778793,0.00140168201842211
"90","napoleon",4728387,0.00140168201842211
"91","mila kunis",4660426,0.00140168201842211
"92","nicole kidman",4653475,0.00140168201842211
"93","rachel weisz",4635093,0.00140168201842211
"94","frank sinatra",4627367,0.00140168201842211
"95","quentin tarantino",4620922,0.00140168201842211
"96","o. j. simpson",4610989,0.00140168201842211
"97","bill clinton",4608675,0.00140168201842211
"98","nelson mandela",4595406,0.00140168201842211
"99","selena",4583490,0.00140168201842211
"100","larry king",4563370,0.00140168201842211
"101","madonna",4554752,0.000700841009211053
"102","julia roberts",4543760,0.000700841009211053
"103","bob dylan",4516450,0.000700841009211053
"104","bob marley",4502426,0.000700841009211053
"105","val kilmer",4492014,0.000700841009211053
"106","nikola tesla",4473704,0.000700841009211053
"107","whitney houston",4412367,0.000700841009211053
"108","rowan atkinson",4394248,0.000700841009211053
"109","kirsten dunst",4384068,0.000700841009211053
"110","charlie sheen",4366670,0.000700841009211053
"111","denzel washington",4356618,0.000700841009211053
"112","liam neeson",4350551,0.000700841009211053
"113","miley cyrus",4346620,0.000700841009211053
"114","kurt cobain",4345303,0.000700841009211053
"115","alexander hamilton",4310184,0.000700841009211053
"116","mariah carey",4288973,0.000700841009211053
"117","sean connery",4268915,0.000700841009211053
"118","jennifer connelly",4250948,0.000700841009211053
"119","dolly parton",4234507,0.000700841009211053
"120","billie holiday",4233666,0.000700841009211053
"121","theodore roosevelt",4199119,0.000700841009211053
"122","lucille ball",4184343,0.000700841009211053
"123","amy winehouse",4182979,0.000700841009211053
"124","jill biden",4176545,0.000700841009211053
"125","johnny cash",4168033,0.000700841009211053
"126","jennifer garner",4156057,0.000700841009211053
"127","john travolta",4153327,0.000700841009211053
"128","natalie portman",4135773,0.000700841009211053
"129","woody allen",4135038,0.000700841009211053
"130","richard nixon",4128702,0.000700841009211053
"131","robert de niro",4125831,0.000700841009211053
"132","kevin costner",4090325,0.000700841009211053
"133","marlon brando",4056501,0.000700841009211053
"134","jim carrey",4041573,0.000700841009211053
"135","al capone",4031411,0.000700841009211053
"136","colin powell",4019962,0.000700841009211053
"137","cher",4012393,0.000700841009211053
"138","nick jonas",4012358,0.000700841009211053
"139","ashton kutcher",4002105,0.000700841009211053
"140","gillian anderson",3988010,0.000700841009211053
"141","patrick swayze",3983211,0.000700841009211053
"142","drew barrymore",3980470,0.000700841009211053
"143","cameron diaz",3958299,0.000700841009211053
"144","alan rickman",3942377,0.000700841009211053
"145","charlize theron",3919061,0.000700841009211053
"146","paris hilton",3907554,0.000700841009211053
"147","john madden",3875246,0.000700841009211053
"148","eddie murphy",3869177,0.000700841009211053
"149","warren buffett",3847423,0.000700841009211053
"150","steven spielberg",3845926,0.000700841009211053
"151","al pacino",3841841,0.000700841009211053
"152","charlie chaplin",3838858,0.000700841009211053
"153","reese witherspoon",3835874,0.000700841009211053
"154","brendan fraser",3833161,0.000700841009211053
"155","cicely tyson",3830204,0.000700841009211053
"156","usain bolt",3828926,0.000700841009211053
"157","r. kelly",3813039,0.000700841009211053
"158","harrison ford",3810289,0.000700841009211053
"159","mel gibson",3809098,0.000700841009211053
"160","liza minnelli",3786636,0.000700841009211053
"161","brandon lee",3782351,0.000700841009211053
"162","pierce brosnan",3778208,0.000700841009211053
"163","james franco",3775949,0.000700841009211053
"164","jodie foster",3732015,0.000700841009211053
"165","kelly preston",3712148,0.000700841009211053
"166","william shatner",3705202,0.000700841009211053
"167","jackie chan",3698388,0.000700841009211053
"168","jack black",3692813,0.000700841009211053
"169","david beckham",3690945,0.000700841009211053
"170","james gandolfini",3685517,0.000700841009211053
"171","matt damon",3674403,0.000700841009211053
"172","adam sandler",3646586,0.000700841009211053
"173","grigori rasputin",3642428,0.000700841009211053
"174","dick cheney",3637880,0.000700841009211053
"175","rush limbaugh",3637032,0.000700841009211053
"176","jamie lee curtis",3631426,0.000700841009211053
"177","michael douglas",3621299,0.000700841009211053
"178","meryl streep",3614996,0.000700841009211053
"179","jack nicholson",3611607,0.000700841009211053
"180","david schwimmer",3586100,0.000700841009211053
"181","dwight d. eisenhower",3560968,0.000700841009211053
"182","sean penn",3552922,0.000700841009211053
"183","anthony hopkins",3543941,0.000700841009211053
"184","george clooney",3540189,0.000700841009211053
"185","emma thompson",3526980,0.000700841009211053
"186","alan turing",3499997,0.000700841009211053
"187","anna nicole smith",3497507,0.000700841009211053
"188","dick van dyke",3487950,0.000700841009211053
"189","avril lavigne",3476870,0.000700841009211053
"190","paul rudd",3468272,0.000700841009211053
"191","eric clapton",3452318,0.000700841009211053
"192","carrie fisher",3449111,0.000700841009211053
"193","kourtney kardashian",3443869,0.000700841009211053
"194","elizabeth taylor",3442046,0.000700841009211053
"195","gwyneth paltrow",3435326,0.000700841009211053
"196","dave chappelle",3427868,0.000700841009211053
"197","phil spector",3427791,0.000700841009211053
"198","mick jagger",3419946,0.000700841009211053
"199","saddam hussein",3414327,0.000700841009211053
"200","j. k. rowling",3401629,0.000700841009211053
"201","keira knightley",3397239,0.000467227339474035
"202","jane fonda",3396018,0.000467227339474035
"203","winona ryder",3394776,0.000467227339474035
"204","christopher reeve",3390332,0.000467227339474035
"205","gwen stefani",3389939,0.000467227339474035
"206","venus williams",3368141,0.000467227339474035
"207","ringo starr",3367112,0.000467227339474035
"208","lyndon b. johnson",3358373,0.000467227339474035
"209","kevin spacey",3348446,0.000467227339474035
"210","phil collins",3344705,0.000467227339474035
"211","kate hudson",3343179,0.000467227339474035
"212","christopher columbus",3335450,0.000467227339474035
"213","bill cosby",3292368,0.000467227339474035
"214","marisa tomei",3282663,0.000467227339474035
"215","ozzy osbourne",3276585,0.000467227339474035
"216","kurt russell",3273269,0.000467227339474035
"217","christian bale",3253922,0.000467227339474035
"218","demi moore",3238846,0.000467227339474035
"219","jimi hendrix",3225288,0.000467227339474035
"220","brooke shields",3225227,0.000467227339474035
"221","dr. dre",3220818,0.000467227339474035
"222","bruce willis",3212697,0.000467227339474035
"223","che guevara",3208473,0.000467227339474035
"224","amy adams",3191929,0.000467227339474035
"225","michael j. fox",3183778,0.000467227339474035
"226","michael sheen",3183455,0.000467227339474035
