,word,score,invscore,prior
1,abiu,7,0.142857143,0.004645016
2,abius,100,0.01,0.000325151
3,acai,7,0.142857143,0.004645016
4,acais,100,0.01,0.000325151
5,acerola,7,0.142857143,0.004645016
6,acerolas,100,0.01,0.000325151
7,ackee,7,0.142857143,0.004645016
8,african cherry orange,7,0.142857143,0.004645016
9,african cherry oranges,100,0.01,0.000325151
10,akebi,7,0.142857143,0.004645016
11,akebis,100,0.01,0.000325151
12,american mayapple,7,0.142857143,0.004645016
13,american mayapples,100,0.01,0.000325151
14,apple,1.18,0.847457627,0.027555181
15,apples,100,0.01,0.000325151
16,apricot,2.46,0.406504065,0.013217526
17,apricots,100,0.01,0.000325151
18,araza,7,0.142857143,0.004645016
19,arazas,100,0.01,0.000325151
20,avocado,5.28,0.189393939,0.006158165
21,avocados,100,0.01,0.000325151
22,banana,1.7,0.588235294,0.019126538
23,bananas,100,0.01,0.000325151
24,bell pepper,7,0.142857143,0.004645016
25,bell peppers,100,0.01,0.000325151
26,berries,1000,0.001,3.25E-05
27,berry,2.96,0.337837838,0.010984836
28,bilberries,100,0.01,0.000325151
29,bilberry,7,0.142857143,0.004645016
30,black sapote,7,0.142857143,0.004645016
31,black sapotes,100,0.01,0.000325151
32,blackberries,100,0.01,0.000325151
33,blackberry,7,0.142857143,0.004645016
34,blackcurrant,7,0.142857143,0.004645016
35,blackcurrants,100,0.01,0.000325151
36,blood orange,7,0.142857143,0.004645016
37,blood oranges,100,0.01,0.000325151
38,blueberries,100,0.01,0.000325151
39,blueberry,2.62,0.381679389,0.012410349
40,boysenberries,100,0.01,0.000325151
41,boysenberry,7,0.142857143,0.004645016
42,breadfruit,7,0.142857143,0.004645016
43,breadfruits,100,0.01,0.000325151
44,buddhas hand,7,0.142857143,0.004645016
45,buddhas hands,100,0.01,0.000325151
46,cactus pear,7,0.142857143,0.004645016
47,cactus pears,100,0.01,0.000325151
48,canistel,7,0.142857143,0.004645016
49,canistels,100,0.01,0.000325151
50,cantaloupe,2.88,0.347222222,0.01128997
51,cantaloupes,100,0.01,0.000325151
52,cashew,7,0.142857143,0.004645016
53,cashews,100,0.01,0.000325151
54,caviar lime,7,0.142857143,0.004645016
55,caviar limes,100,0.01,0.000325151
56,cempedak,7,0.142857143,0.004645016
57,cempedaks,100,0.01,0.000325151
58,cherimoya,7,0.142857143,0.004645016
59,cherimoyas,100,0.01,0.000325151
60,cherries,100,0.01,0.000325151
61,cherry,2.02,0.495049505,0.016096591
