word,score
orange,1.14
apple,1.18
pear,1.64
banana,1.7
peach,1.86
strawberry,2.02
cherry,2.02
grape,2.1
grapefruit,2.26
nectarine,2.32
tangerine,2.44
plum,2.46
apricot,2.46
lemon,2.58
pineapple,2.6
blueberry,2.62
raspberry,2.78
melon,2.8
cantaloupe,2.88
berry,2.96
watermelon,3.12
lime,3.24
mango,3.74
raisin,4.22
prune,4.28
fig,4.32
pomegranate,4.72
coconut,4.78
avocado,5.28
tomato,5.28
oranges,1000
apples,1000
pears,1000
bananas,1000
peaches,1000
strawberries,1000
cherries,1000
grapes,1000
grapefruits,1000
nectarines,1000
tangerines,1000
plums,1000
apricots,1000
lemons,1000
pineapples,1000
blueberries,1000
raspberries,1000
melons,1000
cantaloupes,1000
berries,1000
watermelons,1000
limes,1000
mangos,1000
raisins,1000
figs,1000
pomegranates,1000
coconuts,1000
avocados,1000
tomatos,1000
plums,1000
