"","X","word","score","invscore","prior","likelihood","pword","posterior"
"1",274,"strawberry",2.02,0.495049504950495,0.0160965909865067,1,0.0160965909865067,0.143928645588663
"2",112,"grapefruit",2.26,0.442477876106195,0.0143872184923644,1,0.0143872184923644,0.128644187650044
"3",50,"cantaloupe",2.88,0.347222222222222,0.0112899700669248,1,0.0112899700669248,0.100949952808715
"4",291,"watermelon",3.12,0.32051282051282,0.0104215108310075,1,0.0104215108310075,0.0931845718234291
"5",33,"blackberry",7,0.142857142857143,0.00464501625610621,1,0.00464501625610621,0.0415336948698714
"6",42,"breadfruit",7,0.142857142857143,0.00464501625610621,1,0.00464501625610621,0.0415336948698714
"7",66,"clementine",7,0.142857142857143,0.00464501625610621,1,0.00464501625610621,0.0415336948698714
"8",69,"cloudberry",7,0.142857142857143,0.00464501625610621,1,0.00464501625610621,0.0415336948698714
"9",97,"elderberry",7,0.142857142857143,0.00464501625610621,1,0.00464501625610621,0.0415336948698714
"10",110,"gooseberry",7,0.142857142857143,0.00464501625610621,1,0.00464501625610621,0.0415336948698714
"11",121,"honeyberry",7,0.142857142857143,0.00464501625610621,1,0.00464501625610621,0.0415336948698714
"12",126,"jabuticaba",7,0.142857142857143,0.00464501625610621,1,0.00464501625610621,0.0415336948698714
"13",137,"jostaberry",7,0.142857142857143,0.00464501625610621,1,0.00464501625610621,0.0415336948698714
"14",155,"loganberry",7,0.142857142857143,0.00464501625610621,1,0.00464501625610621,0.0415336948698714
"15",174,"mangosteen",7,0.142857142857143,0.00464501625610621,1,0.00464501625610621,0.0415336948698714
"16",245,"redcurrant",7,0.142857142857143,0.00464501625610621,1,0.00464501625610621,0.0415336948698714
"17",28,"bilberries",100,0.01,0.000325151137927435,1,0.000325151137927435,0.002907358640891
"18",59,"cherimoyas",100,0.01,0.000325151137927435,1,0.000325151137927435,0.002907358640891
"19",129,"jackfruits",100,0.01,0.000325151137927435,1,0.000325151137927435,0.002907358640891
"20",147,"kiwifruits",100,0.01,0.000325151137927435,1,0.000325151137927435,0.002907358640891
"21",171,"mandarines",100,0.01,0.000325151137927435,1,0.000325151137927435,0.002907358640891
"22",195,"nectarines",100,0.01,0.000325151137927435,1,0.000325151137927435,0.002907358640891
"23",214,"persimmons",100,0.01,0.000325151137927435,1,0.000325151137927435,0.002907358640891
"24",216,"pineapples",100,0.01,0.000325151137927435,1,0.000325151137927435,0.002907358640891
"25",256,"sapodillas",100,0.01,0.000325151137927435,1,0.000325151137927435,0.002907358640891
"26",278,"tamarillos",100,0.01,0.000325151137927435,1,0.000325151137927435,0.002907358640891
"27",284,"tangerines",100,0.01,0.000325151137927435,1,0.000325151137927435,0.002907358640891
"28",285,"tayberries",100,0.01,0.000325151137927435,1,0.000325151137927435,0.002907358640891
