PROLIFIC_PID,bonus
5e92178e8ee4fe54b65b7c39,0.9
612288fe5afea1bf6b8a197e,1.5
566d5997d408ea00051a2a86,2
5b7eda62ff1109000172ab7c,1.1
609ffde6ce77f26ad8157c29,0.7
5fbea874041324074f0c3171,1
565a4547c51d43000587507d,1.4
5cf02982efff0b00177ac692,0.6
5e529025f1ecb42a44a8eac4,0.8
60fc7d423aa600bbb01b7813,0.6
61005a9bfd2f14f18ef7ec7d,0.9
5ea031f7e044e104a205f65b,0.6
5ea0f8b65669f80008176bec,0.9
5f60fad1438cb2026e428741,1.1
5e459f61418f610891628564,0.8
6049ea02c1d1e9fdb3fb3d43,1.1
5b9aed646a11180001a8082e,1
5d6ebbf926b44400175f445a,0.8
604fd108095634f9df531179,1.1
5d8e46b78133dc00142ef00b,0.9
5dac63da21420b0014a509c1,0.7
5800eb53beccf8000100cb06,0.7
5803cb9a3073510001231d82,1.1
61032274bad76a096a09f0b0,0.9
6101f03f02ea2d695b6b6454,1.3
5e24fbd4e1f467771c234e5f,0.8
5c79bc94d454af00160e2eee,0.7
5dd4070a57a7e13efe25534a,0.9
61114822ccea57d28496da00,1.3
5ecb09cc5bb88d670255817a,0.7
5b5a822e1ad8270001c4f28d,0.5
5d410e3856e04100018c51e9,0.8
5cf3f7364bcc6400019d71fa,0.6
600ad993c009a101dd6a9bdb,0.9
610835949b556d70924fd817,1
5fa45d41eb5d570b4841254d,1
6148e1e0c1a60baf79c41d59,0.8
611325c23a34bedb5feed16b,1.2
5d29346269a747001acdb205,1
61230b14a3bcb65c585dfdaa,0.7
60f0dcbc59e623de37ddc745,1.1
61588d3760a3e57cb950a6eb,0.8
60fd462512ad2ae6071668f3,1
5fefa70c30cadfb105b65915,0.7
5d39f0c9d08e29001a5e42f2,1
6146e94d72e78c1a6fcc2eab,0.8
61143c46fbc05c36939dce2d,0.4
5b77435f13c3580001b63f26,0.6
5d4a03a7278a80001a4fa9df,0.6
5cb9bdde3eb01800129f81d7,0.7
57ea425e5b88f5000106bb9f,0.6
6007421356226920359b5f3e,0.8
608ca27f0fc273d395eb58bd,0.7
5ecb6acd10d2c36e6124c9bd,0.8
599001770675b100014dad01,0.8
55d39f64da14d7001295375a,0.6
5f00a018ba03360952c6285f,1.1
59e7eb5d62637600014a7db2,0.7
5abae3c447a9f7000153c531,0.9
5dc16c9e317aa40c9882e73b,0.7
5ea2db31f5c6d720f25f0697,0.9
61760b30f2c7886886924db1,0.9
5d5c250a0274020016e2333a,1.2
5b1efc25bdf4e1000163af46,0.6
610dc0311c1aa4745bff2c7d,0.9
602a2911a73ba046955f6c58,0.8
6092eb318a3efe4d95b0a0b0,1.1
609c2dcbc88bdd19e0be4b98,0.9
61146294090cd6814cef2390,0.5
610bf0827d7606e50403bd59,1.2
5d95dfca33f8930017e85486,1
6122af5e398815fcb95b6c0f,1.1
5c0522c69cfe460001799999,0.9
5702c03e68c641000e0d754d,0.8
5efc6a4ba720250009909dfe,0.7
611020d5c23bd55ba7e60dc8,0.6
5ea04e9dbb81f60726da2182,0.7
5eac39578621a7067ae955eb,0.7
5d459cd66f084f00151bd226,1
58afa1dc0bb66f000173b487,1.1
6054590e03e47ff00b292dc2,0.6
608ee492d63622f9f4d5306f,1
5d341b57a48ae7000114152a,1.1
61037214f277d832fd22f75f,0.9
6169e42569630f4402fe9b3b,0.6
6047c79eb8267d07b5a2ffb2,1.1
5fa882f0300cb974262be986,1
5fbaf990efe4a5bcf223f9d7,0.9
5e53a7b4d9a7ea3a2b062da0,1.1
5e8a042b88674a69d75f7347,1.6
60ae0cc5a466016050f1082d,1.3
60168d91d4e20d827c76dcb0,1.1
5cc53cf3291607001757c712,0.6
5be0662dea836b0001e9870f,1.1
57f697c6733f560001b5898b,1.2
5fa03f51fa95ac02f5e00d3b,1.3
5bcda2ee6fd72000014996e4,1.5
5eb7094fbb8ed70b61398cff,0.7
5b6f312393405d000159e471,0.7
56b78f11e77ebe000cbefe79,0.9
5ea04f91e044e106a914fbd6,0.4
595b93cde11c9d0001522564,0.6
5774ed97d8e8880001b2ff6c,0.5
6105125f5444633b3247dbc9,0.8
610a92250459c3e15fb4d449,0.7
616f23661342f9984199efb9,0.8
5f9eb2b4530d3e45e450e42e,1.2
602d42c89dc5357103601252,1.4
60cd45f3a4134f92558cc450,1.4
60be1314c97894c00495567e,0.7
6160453acd72473b7c03c1d7,0.8
5df00180618c1506c3980f98,1
5eb7d8ea6b705a701c4c7ff7,0.5
60b8a2ea5eb4ad8ae98302f9,0.8
5d3b2b2ee931f40019cf778b,0.6
60153f6faf1cb75da820c070,0.8
60eefc637c43864099be023a,1.5
5e95d76c8cfb0502e3db1f88,1.2
5c17c149f596b100011ca8b8,0.8
5dd650d749f6075e1eccc352,0.9
5deb9c5a4de9422935efe5e7,0.7
5c5ca28d08ac630001cdaf6e,1
5ca9f8926025570001c872f3,0.9
5fcfc1cf5aaa211308f4a1d2,0.9
6173c5b0aa4bc2370fd2c1f2,1
60b005fde343f75a2b76d406,1
6030fb6df25202f8c6b7ddc9,0.9
606451b5aab2ec4afaae10f4,0.9
5dfb7cbd01423f8a774d893b,0.7
5f0ee1c5befb85011c91daf4,0.9
5f6388c21b14c5079764e750,0.9
5cb308825ee1730001ae65aa,0.8
5fec594488f057dbd3bdec07,0.5
60662064c4e2b814215e6890,0.4
60a41548e296f3e79014e8ea,1.2
5bcfde8c8301810001a33bea,1.6
5ca356cb72a23200160ce912,1.3
581ccd016c73180001fa5b2a,1
60bb3b463887c2f9d1385cce,0.9
55848744fdf99b574f55ada0,1.2
5ce7c46d79642d0017767d94,1.4
6101c5bffd584fdda7def135,1
5cc5e73b3b1b1c0001f9dbfb,1.1
5b6ca2780d296a000133484d,0.7
594ec90eca6e670001b2c184,0.7
605de3af48d7a575adb95b09,1
60c048ca962103e0da201a34,0.8
604fa685e33606f9a0ee8189,0.6
60fd310fff5b2600c9d95554,1
595804ea8b58be00012c25a1,0.7
606340ca7faac7025f31dd57,0.7
5f31233084da6004d4e59bc0,1.1
614c8dd508d065d05cc8dd11,1.3
5d1904fd8b97090001215bdf,1.3
60f9425c7cd7f5e12ccd1b9b,0.9
55b424e1fdf99b526efcf8d0,0.9
5ec72fbb5583f317711575e9,1
5a0c036857cee70001767a58,0.9
5d470786da637a00014ba26f,1.1
5c2fcd716ea6880001dc8e3d,0.5
5d833b0e6642ee0001bfa9cb,0.7
5c2c62542c45d400014a32e6,0.9
6093db807d15df55e6990a28,0.8
5ee64d0bf796cb3b252a8c99,1.2
5ee4aab1232e9d1b4d791bae,0.9
5f3287b83428cb05746e2214,0.5
5f48d42a7bb92a39760f70b2,1
607081b0ecb2499634a349dd,1
615810ccd2831270292e2356,1.1
60fd6ea5d5e5f804bb6fc4cf,0.5
5b1f92bdc9d3cb0001107e75,0.6
5cc7443b836ddc0016fec706,0.5
58d2cb10f5899100018a05b8,0.8
6123c20b090581816f672f1d,0.5
5c28cac3867f660001ae9c4a,0.7
5d5db7f7ca179000180b17cc,0.7
6155b4ba6222e3f19f3d36d0,1
5d1a69d8f97a18001977e0d7,1
5e869a2ada38292db0605de5,1.2
60d60ba4fd799e149121b85b,1
5f84e472052cf81ae5752252,0.9
5c5cad3e4ee81200018eafe2,1.1
60ca8ba5df33cf01a47b670a,0.9
5f217ac62c1f5e54b8b36ecb,1.2
603c124974df2e8f9f375fa8,0.9
5d6f8881a273800019397e62,0.2
60163ed1b16bec7be479742a,0.9
60feaf44263d0be1fef1bd54,1.7
5e7fa0e918b10804bb87eb63,1.1
5cfcbebcc7d9910001ae884b,0.7
60b3e6ad448226548d21fc4d,0.6
5b9d57e5737d030001ad2cbf,0.8
57b8e70f35624400013d690c,1.1
5be1ac50ca095c0001b9f717,0.8
615ebe7c2fb5443bf6b04f25,1.2
5cbe04b4f429ff00159de30e,0.7
61452bbe86c21c0347085911,1
60392f725862f13f0fe248fd,1
6119f2f6a0b020eb3941b3e1,0.6
5d68c8aa40524c00189e8ac2,1.2
6002e90144049f32edaf9ccf,1.2
5bb7b83ab791890001f4fd90,0.6
5f778d553167a12eae0e1c00,1
607ca741fd54ce0bd3846328,0.7
6166e5cd024386d488088b45,1
5cf1824f1ae74d00015fbd39,1.1
