"","session_id","participant_id","status","started_datetime","completed_date_time","time_taken","age","num_approvals","num_rejections","prolific_score","reviewed_at_datetime","entered_code","Country.of.Birth","Current.Country.of.Residence","Employment.Status","First.Language","Nationality","Sex","Student.Status"
"1","61c3a7f9de176721beb332a5","61037214f277d832fd22f75f","APPROVED","2021-12-22 22:34:37.289000","2021-12-22 23:12:08.977000",2251.688,20,20,0,100,"2021-12-23 19:22:55.771000","7FF864CD","Canada","Canada","Other","English","Canada","Female","Yes"
"2","61c3a7fbb1ff4eb16e4c1b7c","5fbaf990efe4a5bcf223f9d7","APPROVED","2021-12-22 22:37:52.713000","2021-12-22 23:04:02.608000",1569.895,26,51,0,100,"2021-12-23 19:22:55.857000","7FF864CD","South Africa","South Africa","DATA EXPIRED","English","South Africa","Female","DATA EXPIRED"
"3","61c3a824948e557613f42fc1","6169e42569630f4402fe9b3b","APPROVED","2021-12-22 22:35:16.789000","2021-12-22 22:51:11.883000",955.094,36,50,0,100,"2021-12-23 19:22:55.942000","7FF864CD","Ireland","Ireland","Full-Time","English","Ireland","Female","No"
"4","61c3a8366b5b26f8271ffce6","6047c79eb8267d07b5a2ffb2","APPROVED","2021-12-22 22:35:36.109000","2021-12-22 22:57:12.506000",1296.397,29,133,0,100,"2021-12-23 19:22:56.038000","7FF864CD","United Kingdom","United Kingdom","Unemployed (and job seeking)","English","United Kingdom","Male","No"
"5","61c3a8472f5c7ca4c5e6c6e7","5fa882f0300cb974262be986","APPROVED","2021-12-22 22:35:57.673000","2021-12-22 22:49:04.006000",786.333,26,115,2,99,"2021-12-23 19:22:56.139000","7FF864CD","Australia","Australia","DATA EXPIRED","English","Australia","Female","DATA EXPIRED"
"6","61c4396534f5923d7cc7ff8e","60ae0cc5a466016050f1082d","APPROVED","2021-12-23 08:55:07.895000","2021-12-23 09:13:12.777000",1084.882,32,62,2,98,"2021-12-23 19:22:56.221000","7FF864CD","South Africa","South Africa","Full-Time","English","South Africa","Female","No"
"7","61c43967a7945e3cac10b3cc","5e53a7b4d9a7ea3a2b062da0","APPROVED","2021-12-23 08:55:06.708000","2021-12-23 09:17:44.697000",1357.989,41,619,9,98,"2021-12-23 19:22:56.585000","7FF864CD","United Kingdom","United Kingdom","Full-Time","English","United Kingdom","Female","No"
"8","61c439685b01e3901b0719dc","61059ae3e280dd20c9d838de","TIMED-OUT","2021-12-23 08:55:15.403000","",2856972.600415,31,202,4,99,"","","United Kingdom","United Kingdom","Full-Time","English","United Kingdom","Female","No"
"9","61c4396957b84cfb0c259c50","60168d91d4e20d827c76dcb0","APPROVED","2021-12-23 08:59:37.949000","2021-12-23 09:19:03.199000",1165.25,54,285,3,100,"2021-12-23 19:22:56.688000","7FF864CD","United Kingdom","United Kingdom","Part-Time","English","United Kingdom","Female","No"
"10","61c4396bcb7eeb1a4835eaa5","5e8a042b88674a69d75f7347","APPROVED","2021-12-23 08:55:07.034000","2021-12-23 09:13:20.319000",1093.285,49,555,2,100,"2021-12-23 19:22:56.769000","7FF864CD","United Kingdom","United Kingdom","DATA EXPIRED","English","United Kingdom","Male","DATA EXPIRED"
"11","61c43e2ba550898126e6bb00","5fa03f51fa95ac02f5e00d3b","APPROVED","2021-12-23 09:15:32.172000","2021-12-23 09:37:23.620000",1311.448,24,106,0,100,"2021-12-23 19:22:56.854000","7FF864CD","South Africa","South Africa","Unemployed (and job seeking)","English","South Africa","Male","Yes"
"12","61c43e2c731c6758675724ff","5cc53cf3291607001757c712","APPROVED","2021-12-23 09:15:26.380000","2021-12-23 09:39:59.928000",1473.548,58,766,1,100,"2021-12-23 19:22:56.933000","7FF864CD","United Kingdom","United Kingdom","Not in paid work (e.g. homemaker', 'retired or disabled)","English","United Kingdom","Male","No"
"13","61c43e2cce7a506e1ac2e384","57f697c6733f560001b5898b","APPROVED","2021-12-23 09:15:24.010000","2021-12-23 09:31:48.663000",984.653,38,1956,5,100,"2021-12-23 19:22:57.045000","7FF864CD","United Kingdom","United Kingdom","Full-Time","English","United Kingdom","Male","No"
"14","61c43e2dee529371020fc233","5be0662dea836b0001e9870f","APPROVED","2021-12-23 09:15:33.686000","2021-12-23 09:31:37.594000",963.908,42,812,2,100,"2021-12-23 19:22:57.121000","7FF864CD","United Kingdom","United Kingdom","DATA EXPIRED","English","United Kingdom","Female","DATA EXPIRED"
"15","61c43e31baf31899d094275a","5bcda2ee6fd72000014996e4","APPROVED","2021-12-23 09:23:25.594000","2021-12-23 09:40:53.590000",1047.996,37,1174,4,100,"2021-12-23 19:22:57.195000","7FF864CD","United Kingdom","United Kingdom","Full-Time","English","United Kingdom","Male","No"
"16","61c4443cb569a027aaf99928","5eb7094fbb8ed70b61398cff","APPROVED","2021-12-23 09:41:16.445000","2021-12-23 09:57:18.445000",962,43,650,2,100,"2021-12-23 19:22:57.295000","7FF864CD","United Kingdom","United Kingdom","Full-Time","English","United Kingdom","Female","No"
"17","61c4443e26e648149f1c2b71","60be1314c97894c00495567e","APPROVED","2021-12-23 09:41:30.175000","2021-12-23 10:12:34.032000",1863.857,39,109,0,100,"2021-12-23 19:22:57.380000","7FF864CD","South Africa","South Africa","Full-Time","English","South Africa","Female","No"
"18","61c4443e8e2c847e40a185ac","5d3b2b2ee931f40019cf778b","APPROVED","2021-12-23 09:42:10.630000","2021-12-23 10:14:15.157000",1924.527,56,672,4,100,"2021-12-23 19:22:57.466000","7FF864CD","United Kingdom","United Kingdom","Full-Time","English","United Kingdom","Male","DATA EXPIRED"
"19","61c4443f08604b80aa0a4b49","604541676af7216614098dde","RETURNED","2021-12-23 09:41:19.290000","",2854208.893523,39,377,0,100,"","","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED"
"20","61c4444063e1a02c585864b7","6160453acd72473b7c03c1d7","APPROVED","2021-12-23 09:41:38.394000","2021-12-23 10:15:34.012000",2035.618,32,131,0,100,"2021-12-23 19:22:57.592000","7FF864CD","United Kingdom","United Kingdom","Full-Time","English","United Kingdom","Female","No"
"21","61c444407f7625db777dfb9a","5b6f312393405d000159e471","APPROVED","2021-12-23 09:41:20.436000","2021-12-23 10:03:03.628000",1303.192,25,637,2,100,"2021-12-23 19:22:57.683000","7FF864CD","United Kingdom","United Kingdom","DATA EXPIRED","English","United Kingdom","Male","DATA EXPIRED"
"22","61c44441c9946267a1a558c7","56b78f11e77ebe000cbefe79","APPROVED","2021-12-23 09:41:21.321000","2021-12-23 10:01:22.603000",1201.282,56,2375,16,99,"2021-12-23 19:22:57.755000","7FF864CD","United Kingdom","United Kingdom","Part-Time","English","United Kingdom","Female","No"
"23","61c44441e44fe9ae9b56f258","5ea04f91e044e106a914fbd6","APPROVED","2021-12-23 09:41:23.708000","2021-12-23 09:56:04.477000",880.769,65,418,8,98,"2021-12-23 19:22:57.832000","7FF864CD","United Kingdom","United Kingdom","Full-Time","English","United Kingdom","Male","No"
"24","61c444428102a83cec90db2f","602d42c89dc5357103601252","APPROVED","2021-12-23 09:41:33.242000","2021-12-23 09:59:39.197000",1085.955,27,212,1,100,"2021-12-23 19:22:57.911000","7FF864CD","Jamaica","United Kingdom","Unemployed (and job seeking)","English","United Kingdom","Female","No"
"25","61c44442ca3697e50dbbd28c","60153f6faf1cb75da820c070","APPROVED","2021-12-23 09:41:22.902000","2021-12-23 09:54:18.823000",775.921,32,433,1,100,"2021-12-23 19:22:58.009000","7FF864CD","United Kingdom","United Kingdom","Full-Time","English","United Kingdom","Male","No"
"26","61c44442fcd1b1b8387c4db9","5df00180618c1506c3980f98","APPROVED","2021-12-23 09:41:42.943000","2021-12-23 10:12:51.947000",1869.004,25,522,3,99,"2021-12-23 19:22:58.096000","7FF864CD","United Kingdom","United Kingdom","Full-Time","English","United Kingdom","Female","No"
"27","61c4444365668125ae69fa90","5eb7d8ea6b705a701c4c7ff7","APPROVED","2021-12-23 09:42:01.380000","2021-12-23 10:12:49.901000",1848.521,56,452,4,99,"2021-12-23 19:22:58.204000","7FF864CD","United Kingdom","United Kingdom","Not in paid work (e.g. homemaker', 'retired or disabled)","English","United Kingdom","Female","No"
"28","61c44444074e51b2398640d1","5f9eb2b4530d3e45e450e42e","APPROVED","2021-12-23 09:41:34.521000","2021-12-23 10:11:36.908000",1802.387,66,341,6,98,"2021-12-23 19:22:58.282000","7FF864CD","United Kingdom","United Kingdom","Part-Time","English","United Kingdom","Male","No"
"29","61c44444814d3ae50dad2040","60cd45f3a4134f92558cc450","APPROVED","2021-12-23 09:41:24.558000","2021-12-23 10:03:00.082000",1295.524,61,180,0,100,"2021-12-23 19:22:58.374000","7FF864CD","Australia","Australia","Part-Time","English","Australia","Female","No"
"30","61c444455f3290aa3a1423d9","60b8a2ea5eb4ad8ae98302f9","APPROVED","2021-12-23 09:41:28.177000","2021-12-23 10:04:05.775000",1357.598,41,247,1,100,"2021-12-23 19:22:58.447000","7FF864CD","United Kingdom","United Kingdom","Full-Time","English","United Kingdom","Female","No"
"31","61c44445b2d27076f7125632","616f23661342f9984199efb9","APPROVED","2021-12-23 09:41:28.606000","2021-12-23 10:01:46.073000",1217.467,39,106,0,100,"2021-12-23 19:22:58.534000","7FF864CD","United Kingdom","United Kingdom","Part-Time","English","United Kingdom","Female","No"
"32","61c44445b569a027aaf99929","6105125f5444633b3247dbc9","APPROVED","2021-12-23 09:41:28.975000","2021-12-23 10:11:55.327000",1826.352,27,124,2,98,"2021-12-23 19:22:58.633000","7FF864CD","United Kingdom","United Kingdom","Full-Time","English","United Kingdom","Female","No"
"33","61c44445f7425ac4221331e3","610a92250459c3e15fb4d449","APPROVED","2021-12-23 09:41:25.755000","2021-12-23 10:00:29.910000",1144.155,41,233,1,100,"2021-12-23 19:22:58.704000","7FF864CD","United Kingdom","United Kingdom","Full-Time","English","United Kingdom","Male","No"
"34","61c44446cdfbdae8637c8d5f","5774ed97d8e8880001b2ff6c","APPROVED","2021-12-23 09:41:26.858000","2021-12-23 10:02:47.555000",1280.697,59,1703,9,100,"2021-12-23 19:22:58.780000","7FF864CD","United Kingdom","United Kingdom","Not in paid work (e.g. homemaker', 'retired or disabled)","English","United Kingdom","Female","No"
"35","61c44446f1297bfe429c2422","595b93cde11c9d0001522564","APPROVED","2021-12-23 09:41:26.121000","2021-12-23 09:53:44.227000",738.106,42,1223,14,98,"2021-12-23 19:22:58.863000","7FF864CD","United Kingdom","United Kingdom","Full-Time","English","United Kingdom","Male","No"
"36","61c44767c43932d6e1ac0419","60eefc637c43864099be023a","APPROVED","2021-12-23 09:54:51.616000","2021-12-23 10:11:53.148000",1021.532,24,100,2,98,"2021-12-23 19:22:58.939000","7FF864CD","United Kingdom","United Kingdom","Other","English","United Kingdom","Female","Yes"
"37","61c44c298ce25f8e19c45366","5e95d76c8cfb0502e3db1f88","APPROVED","2021-12-23 10:15:09.343000","2021-12-23 10:31:19.315000",969.972,45,433,1,100,"2021-12-23 19:22:59.029000","7FF864CD","United Kingdom","United Kingdom","Full-Time","English","United Kingdom","Male","No"
