,subj_id,debrief,suppression,simulation,rules
1,10565ecb,"No, I just used roughly the same pattern (corners, then intermittent squares) when trying to disguise I had hints.  In terms of the other players, it was just looking to see who seemed to be trying to mislead with their picks, or who seemed to hit the ships easily/quickly.",0,1,1
2,1055608c,"I tried really hard to ignore the hints and just follow the rules of the game. On my first move I picked a square at random and started from there trying to always keep the rules in mind, although I did make some missteps on the rules here and there.",1,0,0
3,10546007,Looking for the large areas with no guesses and going in the same order of checking each direction after a hit,0,0,1
4,105357ea,Follow a logical pattern.  See how many blue tiles there were.  ,0,0,1
5,10525cb9,"My strategy for pretending I had no hints was that I tried to click away from as many of the ships as I could and not on them. When trying to tell between the players with and without hints I looked for the same, to try and see who kept missing!",0,0,1
6,10515d4a,"When I was pretending that I had no hints, I just played as a normally would to maximize my coverage of possible hidden ships. When I got a hit, I tried to randomize the directions around the hit. When I was watching others play, I tried to determine if their gameplay strategy was similar to mine or what I would do next if I had made their selection.",0,1,1
7,10505b77,"Sometimes I felt it was illogical to choose certain squares to see if that was where a ship was. In that case I thought that person had some hints, even if they were trying to make it not too obvious.",0,0,0
8,10496114,ocassionally plot mistakes on there.,0,0,0
9,10486146,I just played the same way each time as if I didn't know where the boats were,0,0,0
10,10475d39,I just tried to ignore the crosses and play as normal.I imagined I was playing and thought about where I would go and then compared the play.,1,1,0
11,10465fef,"For pretending I had no hits I picked a strategy ahead of time and went with that as much as I could. Like I would decide to try mostly the middle or all around the outside. I tried to actually draw guesses on paper first, so it took me a long time to get started, but that method didn't work very well. For guessing, I obviously did worse than chance so it must not have been a good strategy. I tried to look mostly at the first moves and see if they looked random. I also looked for mistakes, figuring that a person making mistakes might be doing it on purpose. ",0,0,1
12,104560fd,My main strategy was I felt like if players took a long time to pick a square or kept clicking spaces next to the correct ones they most likely had hints.,0,0,0
13,10446158,I tried to play like I didn't see the marks at all. I started out trying to see who sunk the ships the fastest but that didn't work!,0,0,0
14,104360f0,I didn't really have much of a strategy.  I picked ones that felt similar to the things I did when I was pretending I didn't have the hints.  Pick somewhat randomly but don't always hit the right one.  ,0,0,0
15,10426123,Most of them were very obvious and the ones that didn't have hints had pauses of time where you could tell they were thinking about their next move.,0,0,0
16,10415d29,"When I hit a red square, I didn't immediately go to the rest of the ship.",0,0,1
17,10406113,"No strategy for pretending I had no hints, but for telling between players, I noticed towards the end that players who clicked random squares even when the board was obviously showing where they needed to click probably had the hints because they were trying to be less obvious",0,0,0
18,10396148,I used the same strategy as when i had no hints,0,1,1
19,10385fa4,I chose to make a pattern in each game.,0,0,1
20,10376108,I didn't have strategies.,0,0,0
21,1036600a,trying to go in different directions to try and avoid the crosses.,0,0,1
22,10355cf3,played as a little kid,0,0,0
23,10345d41,"If a player had a strategy, I assumed they had no hits. If the player played randomly it felt more like it was trying to fake hits.NOTE: This video wasn't fully visible. Player 2 only showed the first two columns on the left.",0,0,0
24,10335ecb,"I didn't have a strategy for pretending I had no hints, but I did try to test if the ships I found were three squares long mid-game which may have come across as pretending because it may not be the best strategy. My choices were mainly intuitive when choosing who didn't have a hint. I thought nonsensical games signaled the person HAD a hint.",0,1,1
25,10326111,"I just played my normal strategy of every other block until I hit a ship, and checked each block around it and if I did not find the 3 ship yet, I checked 3 blocks. When looking for players with hints, I looked for players that avoided hitting a ship or didn't check around a hit the same way I would.",0,1,1
26,10315dd4,just if they played strangely,0,0,0
27,10315c79,"I tried to imagine that I was playing with the hints, but pretending not to, and seeing which player made similar moves to me. Also, I checked if there was some sort of pattern that might hint that the player already knows the answer.",0,1,0
28,10296101,I thought that players whose first shots were correct most likely did not have hints and if a player took a longer time playing they most likely didn't have hints.,0,0,0
29,10276103,It seemed as though the players with hints took a longer time to choose. They also seem to make moves that didn't make sense. It appeared like they were trying to not click on the squares.,0,0,0
30,10265803,no strategy just random squares,0,0,1
31,10255800,"Tried to use same starting points as usual and then play in a sensible fashion.To discern, tried to spot illogical play. But didn't do very well.",0,1,0
32,10245dac,"yes miss first then hit and then miss , for this one just tried to imagine hoe i wouild react",0,1,1
33,10235d8e,"I tried to think of how I play battleship, and how many plays on average it took me. If it took the player less than my average, I guessed they used hints.",0,1,0
34,1022604f,"To pretend I had no hints, I purposely avoided the crossed out boxes at first and then randomized which direction I thought a ship was going in. I applied the same principle to guessing which players did and didn't have hints, assuming that ones that guessed more incorrectly were doing so deliberately.",0,0,1
35,10215d6e,My strategy was to play like I didn't already know where the ships were and when I got a hit I played like I didn't know which ship I had hit.,0,1,1
36,10205b9a,"No real strategy, I just tried to be quite random. I was looking for mistakes when looking at other players",0,0,1
37,10186049,"For pretending I had hints, I followed the same strategy for narrowing down squares I would use without them, so sometimes clicked around a square I knew had a ship rather than click straight on it. I tried to identify that same approach when looking for other players with hints. ",0,0,1
38,1.02E+49,"i tried to blank out where the hints were and just followed the strategy i would normally play if i didnt know the hints were there.and for watching how people played i tried to compare it to how i would play, i was fooled more so by how badly some people played the game without the hints",1,1,0
39,10165f60,No I couldn't figure it out,0,0,0
40,10155ea0,I tried to see who paused or looked like they were struggling to make a decision.  I was also very wrong.,0,0,0
41,10145ea0,Tried to look for obviously bad choices - without much success!,0,0,0
42,10136100,I clicked randomly at first and tried to overshoot the 2 space ships or go in the wrong direction after hitting one. I looked for people that overshot the 2 space ships or went in the wrong direction after hitting one. It didn't work. At all.,0,0,1
43,101160fc,I tried to check in a clockwise rotation so it looked like finding certain ships was inevitable and not random. Telling between players was more difficult and I did not have a strategy.,0,0,1
44,1.01E+56,"For pretending i had no hints i proceeded to follow a rhythm of checking corners and the centre before random selection of tiles, following the logical process of if i hit a ship on a space i'd reflect what i would do in a real situation and check all tiles around the one hit.For the strategy of telling which players had/ had not got hints i looked at who was following a logical pattern and if not i believed they had hints",0,0,1
45,10085cf0,"i just tried to avoid them without looking too obvious,and i used the same strategy for finding the fake player but it wasnt very successful.",0,0,0
46,1007565a,"(1) For my own pretending: I tried to follow a specific strategy that I would use without hints, so that would make me less influenced by the hints I could see.  I also tried to resist the temptation to reliably click all the squares for a ship immediately after hitting the first one.(2) For distinguishing between players with and without hints: I didn't do very well at this, but I suspected pretending when I saw someone who would hit a square and then would not immediately search the squares around it for the rest of a ship.  ",0,1,1
47,10065fbe,"My strategy for pretending I had no hints was to play the game how I would usually - aka start from the corners and then work my way from there Telling the difference between the two players, my strategy wasn't really there ",0,1,1
48,1004609f,No just guessing,0,0,0
49,10035b7e, i tried to randomly hit blues,0,0,1
50,1002566d,The players with hints seemed to pick crazy orders for things that didnt really fit with how anyone would play the game,0,0,0
51,10016122,i could tell who was playing with hints because they took longer so they were clearly trying not to be obvious about it,0,0,0
52,1.00E+96,"My strategy was to see if they got two hits(revealed 2 red blocks) to see if they would hit an adjacent block on either side to see if it was a 3 block ship. If they did, I would think they had no hints because when I played(without hints) and got two hits, I would always hit the adjacent blocks to make sure if it were a 3 block or two block ship.",0,0,1
53,99960c9,"I tend to use a strategy in Battleship for when playing normally, and I used that same strategy when playing with hints. When guessing whether a player had hints or not, I watched their patterns.",0,0,1
54,9986151,"Strategy I used for pretending - I always preferred uncovering the middle square and then the four corners no matter what. I think if I started that way I would look normal.Telling between players - After a certain number of squares are uncovered, there are some moves you would never make if you were trying to do this logically. When I saw a move like that, it tipped me off.",0,0,1
55,9975c38,I played the same way each time by clicking the 4 corners first. I looked at the pace they were identifying the battle ships and once they found one where the clicked next. ,0,0,0
56,996574e,"I tried to avoid the x squares at first to avoid making it seem too obvious that I knew where the battleships were. I attempted to try to choose the participant that used up more squares at first, then I tried to choose the participant that used less squares up. In the end, I failed at both strategies as it seemed varied and not super predictable.",0,0,1
57,99561bb,I didn't really have a strategy for pretending I didn't have hints. I was just clicking on random squares that weren't marked. I also didn't have a strategy for telling between players that had hints or not - I just chose the person who took the longest to solve the puzzle.,0,0,1
58,9.95E+46,"I pretended that the hints weren't there and went in like I normally would without them. Watching other players, sometimes it was obvious that they had hints, but other times it wasn't, so no real strategy.",0,1,0
59,99360df,"My strategy for pretending I had no hints was to use the same strategy I would use if I did have hints. By starting with the corners, then the middle sections. My strategy for watching players with and without hints was to try and see if one of the players was finding the ships too easily.",0,1,1
60,99260b8,"My strategy for pretending I had no hints was to squint my eyes and play like I couldn't see the hints. Since I still could see them, I tried to think of what my next moves would be if I didn't know the answer was right there. As for telling if other players had hints or not, I tried to think of how I play a normal game by selecting squares apart from each other until I hit one. I was hoping that others who played that way would be the real players but I was wrong.",1,0,1
61,991611a,"Looking back, I think I could have played more naturally when I was pretending not to have hints. When trying to determine which player had hints, I was looking for games where it seemed like the player was playing slower and more methodically. I feel like players who didn't have hints played faster.",0,0,0
62,9905765,"The player with hints tended to take longer and intentionally play bad, as if they wanted to deceive other players. The players with hints needed fewer moves and were more efficient.Personally, I was taking a while to play and playing inefficiently to hide what I knew.",0,0,1
63,9895b5c,I tried not to immediately go for the ships. I thought slower players were who took more time to think about their moves were more likely to have hints.,0,0,1
64,9886155,I had to keep changing my strategies because I was wrong. For pretending I had no hints i just played as I normally do,0,1,0
65,987615d,"My strategy was to just play the game like I normally would without hints. I tried to watch the pattern of the other players. If they used a random pattern, I assumed they had no hints.",0,1,0
66,9866111,"I just did my normal picking of the four corners first, because when I play battle ship I usually have one boat hidden in a corner of the board. To tell about the players with/without hints, I just watched where they clicked and decided if it made sense based on whether or not they had hints given beforehand. It was more difficult to try to strategize with that one!",0,0,1
67,9855eb5,"I tried to pay attention to how long they were taking, because I felt like if someone was pretending not to take hints then they would deliberately take longer. ",0,0,0
68,9846107,"When I had the hints, I would dance around the squares I knew had the ships. So, when I had to identify the player with hints, I looked for the person who I could guess was intentionally avoiding the squares. ",0,0,1
69,9835a78,Trying to play how I would if there wasn't any. I typically would start at the corners and work my way in.,0,1,1
70,9826151,"I tried to play the game as if I had no hints, visualising the squares without the crosses. I noticed that players who were given hints typically took longer to complete the puzzle.",1,1,0
