subj_id,PROLIFIC_PID,nonpretend,judge,pretend,points,bonus
24,6047ce1fc717c2078388a26c,39,30,30,99,0
26,60674e08ad872b4cd378a9df,68,40,20,128,1
27,5e58376293597e044d5af47a,57,30,10,97,0
28,5df4ed2eae7b303760a9d47c,64,20,10,94,0
29,62a489a999690e9aaf9dc159,58,20,10,88,0
30,594a9305647e0600014f7c3d,68,30,NA,NA,NA
32,5aebb2f6aa05510001ff6561,66,40,10,116,1
33,60fd07af32cee8d5283ae8fb,56,30,40,126,1
34,62b221c49bc98c02c5484b33,47,30,10,87,0
35,5ef42ba59401801d9f859e2d,71,40,10,121,1
36,5f0632802b566a17e81a5f5f,67,20,10,97,0
37,5d9eb6d611b7c400172aa975,63,30,10,103,1
38,62b347618b52904682bf1ca7,57,30,10,97,0
39,6108716bd7e84ed9917914ac,68,40,10,118,1
40,60fedcb021dbf70b52b0b750,59,10,0,69,0
41,5c03217b1a20110001e979f0,62,30,20,112,1
43,60833ce5197d68cff9df1b83,67,20,10,97,0
44,55c43918fdf99b080551e044,71,20,0,91,0
45,5b9845dfae52a00001482c02,60,40,NA,NA,NA
46,NA,NA,NA,10,NA,NA
47,6101c5bffd584fdda7def135,64,30,30,124,1
48,5e72e0d8adc903240ac70891,68,10,10,88,0
49,62a0e1cae57335ec1e5bea37,54,20,20,94,0
50,6296a7ccbfe7eb8f3287569e,60,10,30,100,1
51,628f83dc5398c04bac86f9e6,62,50,20,132,1
52,60fcd2e26a72c518d0b60738,66,30,30,126,1
53,5e2b0f49e0c1bf14ffba5b1b,48,30,10,88,0
54,55b424e1fdf99b526efcf8d0,62,30,0,92,0
55,5d4a41890e604c00011ade8b,65,30,10,105,1
56,61037870224cbf560e7709e4,42,20,20,82,0
57,5efcefeac4b0aa115037925a,57,40,20,117,1
58,60fb383e30537b88f361934e,65,20,NA,NA,NA
59,615dd0b0a024ba4f4b4f7c24,66,20,0,86,0
60,60f6e261d3ae19349059a473,70,30,40,140,1
61,5e3cddaa64dfd70d85a5ef3f,68,30,10,108,1
62,62740cf8e39eba1055ef571b,65,20,NA,NA,NA
63,612fd3208d3decaf3ec80bcc,69,10,20,99,0
