PROLIFIC_PID,subj_id,debrief,suppression,simulation,heuristic
6298df7da7b45df1b730d3aa,599,"I always chose vowels first because all words have vowels. The most difficult part of pretending was trying not to guess the word in too little number of trys. I really didnt have a strategy for guessing if they were real or pretending, I mainly looked at how long it took them.",0,1,1
610d6c481ca4797b863fe3d1,598,"To pretend, I started with vowels in the order we receive them in school: A, E, I, O, U. To know who was pretending or not, I looked for artificial hesitations when a word became apparent.",0,0,1
5df4565dfeea89323021ef27,597,I tried to think how I would solve it if I didn't know. So I went through the routine. Then I tried to figure out at what point the word would be apparent to anyone and then I filled it in. I tried different thought processes- if they were too slow at first I thought that meant that they were pretending but that didn't always work. ,0,0,1
62c84b75835be6f44f99acd1,596,My strategy was to use vowels first and then try to guess as a normal person would; however already knowing the answer made me make more mistakes than I normally would just to try to make it seem as though I didn't know. I could tell who was faking because they would make unnecessary mistakes just like I did.,0,1,1
5df4892578322533c70aecdf,597,"I tried to follow what I would have done normally, which was consider the category of the word and selecting what I thought would be the most common vowels/consonants. The most difficult thing was to try to consider other similar words. To tell between the pretenders and real games, I tried to consider the possibilities of letters that I would've picked, and people who did play for real would pick reasonable letters.",0,1,1
5aeeb4903c80f200013af2ed,596,I used Wheel of fortune final showcase letters. I then would go through the vowels. Using the same formula would make it more likely I was just doing guesses. Putting the points out of my mind. Lucky guesses were judged heavy. ,0,0,1
5efef32a88bb6a01c8087591,595,"My strategy for pretending I didn't see the word seemed to be similar to others', I would usually guess E first and other common letters that could apply. Otherwise, I thought about what else the word could be if I had not known, and made guesses for those letters. Many times, those letters were also in the real word, and at that point the real word seemed like it would become more obvious, so I'd start filling out the real letters.My strategy for guessing if other players were pretending was to see how long they were taking when I thought the word already seemed obvious. I thought they would take longer and guess wrong letters on purpose, to make it seem like they didn't know. The ""taylor swift"" one, and especially the ""tooth"" one seemed obvious to me from the first few letters, so it felt drawn out on purpose. I don't know what other body part has 5 letters and spells _OO__, but the player seemed to (pretend to?) think about it a lot. It turned out they actually weren't pretending though, so that was just my mistake in judgment.",0,1,1
5bdfb648484288000130dad0,594,I didn't have any specific strategy,0,0,0
5e38e79295ff561112eae457,593,"When pretending not to see the word I tried to focus on how I would have deduced the word if I hadn't known it. For example, thinking of what words seemed likely and guessing letters that could fit in those words. What was difficult about pretending was not solving the word too fast after getting a couple of letters. For telling between players who were pretending and playing for real I tried to imagine what words someone who had no idea might guess and what letters that would start choosing. For some pretending players I felt they were choosing letters that clearly didn't make sense in attempt to make it look like they had no clue.",0,1,0
5dde8fba82f458000c8c7c75,592,I tried to just guess vowels and work my way around to the right letters. It was hard to knowingly lower my score.  I tried to judge by how many points they lost combined with the length of time spent contemplating.,0,0,1
627e7b6d33e1df14160c05ba,590,"At first, I did - I did the whole ""Wheel of Fortune"" thing where I picked RSTLNE, but with E first, as it seems like a logical letter to start with rather than R. But I realized while in the middle of pretending that it's not actually how people guess the words, as I remembered my own strategy for guessing the first word was to rule out certain words based on how many letters they had, then I would go from there. As an example, I guessed almost immediately that the number I had to guess was ""eleven"" just based on the word count. I confirmed this by guessing E, then filling in the rest.",0,1,1
58ab2db50da7f10001de8e34,589,"Most people will start with vowels, similar to how in Wheel of Fortune they immediately start buying vowels once they can afford to. E and A in particular will show up often in many words.For telling players as real or fake, the key is that a real player when they have just two or so letters to go, they'll have already figured out the word and will speed through those final choices. They wouldn't hesitate to pick the letter I when they have ""N_NETY S_X"" already on the board.",0,1,1
6029b0e17f3b5d944ab183f1,588,No specific strategy. I started with vowels and took my time. The most difficult thing was guessing while looking at the word. The last part was hard. I had a tough time telling if they were lying or not.,0,0,1
56ee521a65ca4d000cc39e55,587,I imagined what letters are most common and picked some of those first until it became plausible that i had figured out the word. The hardest part was waiting for a while when I would be normally thinking.  I tried to see this strategy when I was guessing about others but it was really hard and I didn't do well at it because other people had different strategies than me. ,0,1,1
5edd3d8267f8fc0c4d67bc00,584,I chose the most popular letters as they have in Wheel of Fortune.  I used this strategy to determine my choices as well.,0,0,1
62348a6d578faf950d112cd3,585,I just guessed. No particular strategy.,0,0,0
5fffdc5f626a1e1582ab6b9e,583,"I played the same way I usually start hangman, with certain letters. If the word was obvious after those, I felt like most people would get them around the same way. I had no real strategy for telling the different between who played for real and who didn't. It was mostly just a gut feeling.",0,1,0
6294fc5023a8698296cbf7b0,582,Starting with vowels,0,0,0
62b9cccb0b6ded26ff20cd01,581,"I continued my same strategy while pretending as not pretending (guessing the letters in the word SENORITA, because these letters appear most commonly in words). The most difficult part of pretending was deciding where the average player had revealed enough letters that they would get the clue right. For trying to tell who was pretending, I had less of a strategy, I mostly watched how long it took the player to get the first letter and how many correct guesses they made when very few letters had been revealed.",0,1,1
62c5f85ccf34c8d9c0650f6e,580,"I used the 'wheel of fortune' strategy both playing and pretending times, picking common letters like RTSLN and either E or A. Other times when it was a short word, I mentally went through possibilities. I used that as a reference towards how others might play or pretend as well. Those who had little 'misses' from words that would require more hints, I deemed as pretenders.",0,1,1
59bd5ee0b7a3f000017d5c60,579,"I just used the same strategy when I was pretending - vowels first. As far as other people, I was looking for taking a long time between moves, as though they're thinking.",0,0,1
5c008a00bab6730001649924,578,"I played like i would if i didnt know the word, guessing highly used letters such as A,E,S first.  If one of my pretend guesses was there, pretending that I didnt know the word already was the hardest.    Guessing who pretending/knew was very difficult to me.",0,1,1
5e5291ff6c3d7d2a79ec869e,577,"I tried to put myself in the situation as to what letters I normally pick when guessing a word and where I would normally start. Once I got a letter, I would pretend like I forgot the word and would ""retrace"" my steps in my normal way of thinking. As for telling between players who were pretending, the ones who were guessing letters when the answer was already pretty obvious were the people who I thought were trying to fool me.",0,1,0
5fd7782dee03dc08d3f3f491,576,I just tried to go through vowels and then rstln and then adjust if it becomes obvious what the answer is.  Finding someone who is pretending was I guess difficult to me since I got them all wrong. Some looked obviously fake like clicking B as the second choice which is weird. to me.,0,0,1
601d69a993d94008fb2b25dc,575,"I just tried my best of ways people may try to guess words. It is hard to think about how people may try to pretend they didn't know stuff. My strategy for trying to tell who was playing real and who wasn't was that if people took a while to guess a word, they were maybe playing for real vs people who answered quickly, but it seems like that strategy didn't work well.",0,0,0
629d16db307da2e64ea7b1e7,574,"My strategy as a pretend player was to use my usual strategy of starting with vowels and then trying to figure out the consonants.  The most difficult thing was that I didn't take time to consider my answer.  I looked for players who used my strategy, which was a mistake, because all players play differently.  I also knew when a player waited forever without selecting a single letter that it wasn't real.  People at least jump in with some letter so they can narrow the field.",0,0,1
5c6071a1e1df700001ca8bf1,572,I tried to play like I normally would selection some vowels or common letters. I did not know it would make sense to select the last of the letters so that was difficult. I did not. ,0,1,1
629f600f0e7c09ec275bfdc2,571,Picking the vowels was helpful. Also clueing on those common but not first picked wheel of fortune letters was a clue. ,0,0,1
5ea7b13e8ac6491a2050e619,568,"I had to think like I was guessing the word. I would think about words that might fit and try to get the first letter. When I was guessing who was real, I did the same: I tried to see what their strategy was to guess it.",0,1,1
629e633c82ed7bd84fce0f9a,568,"I did the Wheel of Fortune deal, always try to guess RSTLNE. Works for Wordle, too.",0,0,1
5f3ae1d68c88967a1d3b86c0,570,"I tried to run through my go-to starting letters (e, i, o, etc.) as usual and then complete the word if I felt a reasonable person could guess it from what I got. If not, I guessed some wrong and some right letters until I reached that point. It was hard when pretending to know whether my intentionally wrong guesses would seem reasonable or not. Some categories are so narrow that my wrong guesses may have been too obviously wrong. For determining real vs. fake players, I marked people real when they went right for the correct answer. A faker wouldn't do that. I marked people fakers when they spent too much time thinking or guessing wildly when the puzzle seemed obvious from what they already had. When in doubt, I said they played normally.",0,1,1
6165ab1d62dc48b90438ea1d,567,I used my same strategy to play when not knowing the word.the most difficult thing about pretending was waiting.I tried to tell who was using a strategy and who was rushing.,0,1,1
62a7c4d5266dfb89bf94fec8,566,"I used vowels first and it was hard to know how long I should wait before guessing each letter, it was the same for huessing other players strategy",0,1,1
