session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
62c40b72e97ac1bf62414bd9,6105071250a85ac79822ce18,APPROVED,2022-07-05 09:59:41.883000,2022-07-05 10:16:31.256000,1009.373,23,165,2,100,2022-07-05 21:29:51.688000,49E292D8,United States,United States,Full-Time,English,United States,Female,No
62c41acb5d09b1e676d26e9e,5fb4838f3efce01cc28e7f1b,APPROVED,2022-07-05 11:04:49.401000,2022-07-05 11:27:23.941000,1354.54,56,37,0,100,2022-07-05 21:29:51.785000,49E292D8,United States,United States,DATA EXPIRED,English,United States,Male,No
62c41beb9c3492e0a439c105,5b208c7888ee7400012b63f4,APPROVED,2022-07-05 11:09:34.897000,2022-07-05 11:22:15.805000,760.908,36,340,1,100,2022-07-05 21:29:51.911000,49E292D8,United States,United States,DATA EXPIRED,English,United States,Male,No
62c41c19a4430b745bb17d88,56b4fa8da9d33a000c892091,APPROVED,2022-07-05 11:10:20.946000,2022-07-05 11:28:51.967000,1111.021,34,719,6,99,2022-07-05 21:29:51.993000,49E292D8,United States,United States,DATA EXPIRED,English,United States,Male,No
62c41cef84f366e526c78fc5,612c43ce1dfebce5e50760ac,APPROVED,2022-07-05 11:13:54.835000,2022-07-05 11:27:41.737000,826.902,22,239,2,99,2022-07-05 21:29:52.080000,NOCODE,United States,United States,DATA EXPIRED,English,United States,Female,Yes
62c427832a9f9c1340a019b3,5cd107e3c497de00161a0d76,APPROVED,2022-07-05 11:59:02.993000,2022-07-05 12:15:18.537000,975.544,39,194,1,100,2022-07-05 21:29:52.192000,49E292D8,United States,United States,DATA EXPIRED,English,United States,Female,No
62c42796ed8b5887b8dd5280,5e46d70ab1f1c5000d96800d,APPROVED,2022-07-05 11:59:53.462000,2022-07-05 12:21:34.555000,1301.093,37,2204,11,99,2022-07-05 21:29:52.272000,49E292D8,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
62c427b2957fdba24dc7db4a,5d649652adc4e8001a2d258d,APPROVED,2022-07-05 11:59:56.876000,2022-07-05 12:18:51.400000,1134.524,56,901,7,99,2022-07-05 21:29:52.412000,49E292D8,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
62c427b7e2c1d58029e39952,5f3d6975ef131710ed519c7a,APPROVED,2022-07-05 11:59:55.281000,2022-07-05 12:17:56.790000,1081.509,33,1522,11,98,2022-07-05 21:29:52.489000,49E292D8,United States,United States,Full-Time,English,United States,Male,No
62c427bd705f34df149078e4,5afe338a4256e90001d5c64b,APPROVED,2022-07-05 12:00:01.338000,2022-07-05 12:14:41.249000,879.911,39,1862,5,100,2022-07-05 21:29:52.560000,49E292D8,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
62c42f36e71bc790748ac318,5be8353e33f40a0001031d7a,RETURNED,2022-07-05 12:31:54.373000,,451521.014321,76,2110,23,95,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62c42f393aec3f2d630c9e06,60c93f189082587ea79ce324,APPROVED,2022-07-05 12:31:53.533000,2022-07-05 13:15:51.881000,2638.348,25,779,0,100,2022-07-05 21:29:52.778000,49E292D8,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
62c42f4d17ddda5f81eac159,61080e427da5813c9ecceae1,APPROVED,2022-07-05 12:32:15.933000,2022-07-05 12:48:00.637000,944.704,33,527,1,100,2022-07-05 21:29:52.861000,49E292D8,United States,United States,Full-Time,English,United States,Female,No
62c42f4ddfed5be9c4629ef5,58595b56a3149800011e156e,APPROVED,2022-07-05 12:32:16.215000,2022-07-05 12:52:14.942000,1198.727,51,1777,7,99,2022-07-05 21:29:52.926000,49E292D8,United States,United States,Full-Time,English,United States,Female,No
62c42f4f812e4557c1116f46,62c2fef6243a544e0f6196a0,APPROVED,2022-07-05 12:32:32.177000,2022-07-05 12:57:16.751000,1484.574,21,46,0,100,2022-07-05 21:29:53.084000,49E292D8,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
62c42fcb2052f0a519af9ca0,5f90581950d8520e8c7d3890,RETURNED,2022-07-05 12:34:23.457000,,451371.984759,31,1041,5,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62c437689fb246f8627d609c,613461a8b9035cf9b29ad84d,APPROVED,2022-07-05 13:06:48.814000,2022-07-05 13:21:52.897000,904.083,19,632,1,100,2022-07-05 21:29:53.178000,49E292D8,United States,United States,Unemployed (and job seeking),English,United States,Male,No
