"","X","word","views","prior","likelihood","pword","posterior"
"1",1,"donald trump",223883696,0.0014014014014014,1,0.0014014014014014,0.0372076541459957
"2",13,"barack obama",8897913,0.0014014014014014,1,0.0014014014014014,0.0372076541459957
"3",15,"taylor swift",8459667,0.0014014014014014,1,0.0014014014014014,0.0372076541459957
"4",93,"rachel weisz",4635093,0.0014014014014014,1,0.0014014014014014,0.0372076541459957
"5",106,"nikola tesla",4473704,0.000700700700700701,1,0.000700700700700701,0.0186038270729979
"6",116,"mariah carey",4288973,0.000700700700700701,1,0.000700700700700701,0.0186038270729979
"7",155,"cicely tyson",3830204,0.000700700700700701,1,0.000700700700700701,0.0186038270729979
"8",203,"winona ryder",3394776,0.000467133800467134,1,0.000467133800467134,0.0124025513819986
"9",214,"marisa tomei",3282663,0.000467133800467134,1,0.000467133800467134,0.0124025513819986
"10",270,"martin sheen",2877258,0.000467133800467134,1,0.000467133800467134,0.0124025513819986
"11",291,"maggie smith",2751949,0.000467133800467134,1,0.000467133800467134,0.0124025513819986
"12",294,"stevie nicks",2732773,0.000467133800467134,1,0.000467133800467134,0.0124025513819986
"13",383,"dennis quaid",2343881,0.00035035035035035,1,0.00035035035035035,0.00930191353649894
"14",389,"sharon stone",2314096,0.00035035035035035,1,0.00035035035035035,0.00930191353649894
"15",411,"adrien brody",2236123,0.00028028028028028,1,0.00028028028028028,0.00744153082919915
"16",438,"robert plant",2183025,0.00028028028028028,1,0.00028028028028028,0.00744153082919915
"17",443,"quincy jones",2162539,0.00028028028028028,1,0.00028028028028028,0.00744153082919915
"18",449,"sophia loren",2144398,0.00028028028028028,1,0.00028028028028028,0.00744153082919915
"19",462,"ashley olsen",2103512,0.00028028028028028,1,0.00028028028028028,0.00744153082919915
"20",498,"claire danes",1991631,0.00028028028028028,1,0.00028028028028028,0.00744153082919915
"21",500,"harold ramis",1990100,0.00028028028028028,1,0.00028028028028028,0.00744153082919915
"22",539,"george lucas",1887212,0.000233566900233567,1,0.000233566900233567,0.0062012756909993
"23",540,"amanda bynes",1884492,0.000233566900233567,1,0.000233566900233567,0.0062012756909993
"24",554,"george segal",1858269,0.000233566900233567,1,0.000233566900233567,0.0062012756909993
"25",597,"rupert grint",1744459,0.000233566900233567,1,0.000233566900233567,0.0062012756909993
"26",630,"shania twain",1666078,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"27",649,"jeremy irons",1636413,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"28",655,"hilary swank",1630057,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"29",656,"steven tyler",1626864,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"30",658,"martin short",1624865,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"31",725,"lennox lewis",1519769,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"32",779,"raquel welch",1410369,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"33",788,"vivien leigh",1393618,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"34",869,"howard stern",1264896,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"35",905,"cherry jones",1226216,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"36",919,"hayley mills",1210816,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"37",978,"dianne wiest",1143774,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"38",993,"robert frost",1125604,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"39",997,"gordon brown",1122222,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
